(3C5A98):16g8:[:]{050903D5}      | As you explore the wilderness a settlement comes into view up ahead!
(000000):16gk:[r]{050203D6}      | rock
(000000):16gk:[b]{050203D6}      | branch
(A80000):16gk:[!]{050203D6}      | There is nothing here to pick up.
(143270):16gk:[#]{050203D6}      | Things that are here:
(000000):16gk:[r]{050203D6}      | rock
(000000):16gk:[b]{050203D6}      | branch
(3C5A98):16gk:[:]{050203D6}      | You pick up the branch.
(143270):16gk:[#]{050203D6}      | You see a rock here.
(000000):16gk:[Y]{050203D6}      | You hear willow grouse cooing in the east.
(143270):16gk:[#]{050203D6}      | You see a stone here.
(A80000):16gk:[!]{050303D6}      | There's a spruce blocking your way!
(143270):16gk:[#]{050303D6}      | You see a stone here.
(A80000):16gk:[!]{050303D6}      | There's a young spruce blocking your way!
(A80000):16gk:[!]{050303D6}      | There's a spruce blocking your way!
(000000):16gk:[Y]{050303D6}      | You hear willow grouse cooing in the north-east.
(143270):16gk:[#]{050303D6}      | You see a rock here.
(143270):16gk:[#]{050303D6}      | You see 3 growing blueberry shrubs here.
(3C5A98):16gk:[:]{050303D6}      | It can be harvested after few months. 
(143270):16gk:[#]{050303D6}      | You see 4 growing blueberry shrubs here.
(3C5A98):16gk:[:]{050303D6}      | It can be harvested after couple of months. 
(143270):16gk:[#]{050303D6}      | You see a rock here.
(143270):16gk:[#]{050303D6}      | You see a rock here.
(143270):16gk:[#]{050303D6}      | You see a rock here.
(143270):16gk:[#]{050303D6}      | Things that are here:
(000000):16gk:[r]{050303D6}      | rock
(000000):16gk:[s]{050303D6}      | stone
(A80000):16gk:[!]{050303D6}      | There's a spruce blocking your way!
(143270):16gk:[#]{050303D7}      | You see a burnt-out fire here.
(143270):16gk:[#]{050303D6}      | You see a branch here.
(3C5A98):16gk:[:]{050303D6}      | You pick up the branch.
(143270):16gk:[#]{050303D6}      | You see a rock here.
(A80000):16gk:[!]{050303D6}      | There's a young spruce blocking your way!
(143270):16gk:[#]{050303D6}      | Using: TIMBERCRAFT
(143270):16gk:[#]{050303D6}      | Timbercraft option: Fell a tree
(147870):16gk:[?]{050303D6}      | (1) You need cutting weapon - preferably a woodsman's axe.
(AB5700):16gk:[+]{050303D6}      | The rough handaxe in your inventory will be used.
(000000):16gk:[O]{050303D6}      | Ok, you have all the necessary equipment!
(663333):16gk:[&]{050303D6}      | Your timbercraft performance is just a little disturbed due to the load you are carrying.
(A80000):16gk:[!]{050303D6}      | The handaxe is a satisfactory tool here but suffers from rough quality.
(3C5A98):16gl:[:]{050303D6}      | The tree falls down.
(143270):16gl:[#]{050303D6}      | You see 5 slender tree trunks here.
(3C5A98):16gl:[:]{050303D6}      | You pick up the slender tree trunk.
(3C5A98):16gl:[:]{050303D6}      | You feel weary.
(A80000):16gl:[!]{050303D6}      | There is nothing here to pick up.
(3C5A98):16gl:[:]{050303D6}      | You drop the 2 branches.
(A80000):16gl:[!]{050303D7}      | There's nothing to set on fire.
(575757):16gl:[_]{050303D7}      | Place some firewood over there first and then try to build a fire.
(A80000):16gl:[!]{050303D6}      | More firewood is required there.
(143270):16gl:[#]{050303D6}      | You see 2 branches here.
(3C5A98):16gl:[:]{050303D6}      | You drop the slender tree trunk.
(A80000):16gl:[!]{050303D6}      | More kindling such as branches is required there.
(143270):16gl:[#]{050303D6}      | Things that are here:
(000000):16gl:[2]{050303D6}      | 2 branches
(000000):16gl:[s]{050303D6}      | slender tree trunk
(3C5A98):16gl:[:]{050303D6}      | You pick up the 2 branches.
(143270):16gl:[#]{050303D6}      | Using: TIMBERCRAFT
(143270):16gl:[#]{050303D6}      | Timbercraft option: Fell a tree
(147870):16gl:[?]{050303D6}      | (1) You need cutting weapon or by hand.
(AB5700):16gl:[+]{050303D6}      | The knife in your inventory will be used.
(000000):16gl:[O]{050303D6}      | Ok, you have all the necessary equipment!
(663333):16gl:[&]{050303D6}      | Your timbercraft performance is just a little disturbed due to the load you are carrying.
(3C5A98):16gl:[:]{050303D6}      | The tree falls down.
(143270):16gl:[#]{050303D6}      | You see a spruce sapling here.
(3C5A98):16gl:[:]{050303D6}      | You drop the 2 branches.
(000000):16gl:[Y]{050303D6}      | You did not succeed in making a fire.
(CC3333):16gl:[&]{050303D6}      | You are hungry as a bear!
(000000):16gl:[Y]{050303D6}      | You managed to make a fire.
(000000):16gl:[Y]{050303D6}      | You hear kuikka calling in the south-west.
(3C5A98):16gl:[:]{050303D6}      | You feel bitterly cold.
(000000):16gl:[T]{050303D6}      | The fire is about to burn out soon.
(3C5A98):16gl:[:]{050303D6}      | You feel cold.
(000000):16gl:[T]{050303D6}      | The fire is about to burn out soon.
(000000):16gl:[Y]{050303D6}      | You hear kuikka calling in the south-west.
(000000):16gl:[T]{050303D6}      | The fire is about to burn out soon.
(000000):16gl:[Y]{050303D6}      | You hear goldeneye calling in the south-east.
(000000):16gl:[T]{050303D6}      | The fire is about to burn out soon.
(000000):16gl:[Y]{050303D6}      | You hear goldeneye calling in the south-east.
(000000):16gl:[Y]{050303D6}      | You hear rustle of wings from the south-east.
(3C5A98):16gm:[:]{050303D6}      | You feel chilly.
(000000):16gm:[Y]{050303D6}      | You hear kuikka calling in the west.
(A80000):16gm:[!]{050303D6}      | Task cancelled!
(A80000):16gm:[!]{050303D6}      | There's a spruce blocking your way!
(143270):16gm:[#]{050303D6}      | Using: TIMBERCRAFT
(143270):16gm:[#]{050303D6}      | Timbercraft option: Chop felled tree into blocks
(A80000):16gm:[!]{050303D6}      | There is not any big tree trunk to work with!
(143270):16gm:[#]{050303D6}      | You see 4 slender tree trunks here.
(143270):16gm:[#]{050303D6}      | Using: TIMBERCRAFT
(143270):16gm:[#]{050303D6}      | Timbercraft option: Chop felled tree into blocks
(A80000):16gm:[!]{050303D6}      | There is not any big tree trunk to work with!
(143270):16gm:[#]{050303D6}      | Using: TIMBERCRAFT
(143270):16gm:[#]{050303D6}      | Timbercraft option: Carve trunk into a log
(A80000):16gm:[!]{050303D6}      | There is no tree trunk from which you could make a log!
(143270):16gm:[#]{050303D6}      | Using: TIMBERCRAFT
(143270):16gm:[#]{050303D6}      | Timbercraft option: Split firewood from a block
(A80000):16gm:[!]{050303D6}      | There is no any block of wood to work with!
(143270):16gm:[#]{050303D6}      | Using: TIMBERCRAFT
(143270):16gm:[#]{050303D6}      | Timbercraft option: Cut branches/twigs from a tree
(A80000):16gm:[!]{050303D6}      | There's no tree!
(143270):16gm:[#]{050303D6}      | Using: TIMBERCRAFT
(143270):16gm:[#]{050303D6}      | Timbercraft option: Cut branches/twigs from a tree
(147870):16gm:[?]{050303D6}      | (1) You need cutting weapon or by hand.
(AB5700):16gm:[+]{050303D6}      | The knife in your inventory will be used.
(000000):16gm:[O]{050303D6}      | Ok, you have all the necessary equipment!
(000000):16gm:[Y]{050303D6}      | You finished cutting the branches. They are lying beside you on the ground.
(3C5A98):16gm:[:]{050303D6}      | You feel a bit cool.
(000000):16gm:[Y]{050303D6}      | You managed to make a fire.
(A80000):16gm:[!]{050303D6}      | There's nothing to set on fire.
(575757):16gm:[_]{050303D6}      | Place some firewood over there first and then try to build a fire.
(143270):16gm:[#]{050303D6}      | You see a slender tree trunk here.
(3C5A98):16gm:[:]{050303D6}      | You pick up the slender tree trunk.
(143270):16gm:[#]{050303D6}      | You see 4 slender tree trunks here.
(000000):16gm:[Y]{050303D6}      | You hear kuikka calling in the west.
(AB5700):16gm:[+]{050303D6}      | You swing your arm back preparing to throw the slender tree trunk.
(000000):16gm:[Y]{050303D6}      | You fail to deliver a steady throw.
(143270):16gm:[#]{050303D6}      | You see 4 slender tree trunks here.
(143270):16gm:[#]{050303D6}      | HELP AND GAME OPTIONS: Keyboard commands
(000000):16gm:[I]{050303D6}      | It's plain good roasted forest reindeer cut and happily consumed too.
(000000):16gm:[Y]{050303D6}      | You hear kuikka calling in the west.
(3C5A98):16gm:[:]{050303D6}      | You finish eating the roasted forest reindeer cut.
(000000):16gm:[I]{050303D6}      | It's plain good rye bread.
(3C5A98):16gm:[:]{050303D6}      | You feel comfortably warm.
(008000):16gm:[=]{050303D6}      | Burp! Your stomach is full.
(3C5A98):16gm:[:]{050303D6}      | You finish eating some of that rye bread.
(143270):16gm:[#]{050303D6}      | HELP AND GAME OPTIONS: Keyboard commands
(A80000):16gm:[!]{050303D6}      | There is nothing here to pick up.
(3C5A98):16gm:[:]{050303D6}      | You are sleepy and extremely tired.
(147870):16gm:[?]{050303D6}      | Items at your feet will be moved to an adjacent location or packed on an animal.
(A80000):16gm:[!]{050303D6}      | There are no items at your feet!
(147870):16gm:[?]{050303D6}      | Items at your feet will be moved to an adjacent location or packed on an animal.
(A80000):16gm:[!]{050303D6}      | There are no items at your feet!
(147870):16gm:[?]{050303D6}      | Items at your feet will be moved to an adjacent location or packed on an animal.
(A80000):16gm:[!]{050303D6}      | There are no items at your feet!
(147870):16gm:[?]{050303D6}      | You are about to start hauling items at your feet.
(A80000):16gm:[!]{050303D6}      | There are no items at your feet!
(147870):16gm:[?]{050303D6}      | You are about to start hauling items at your feet.
(A80000):16gm:[!]{050303D6}      | There are no items at your feet!
(A80000):16gm:[!]{050303D6}      | There is nothing here to pick up.
(3C5A98):16gm:[:]{050303D6}      | You are feeling rather warm.
(000000):16gm:[Y]{050303D6}      | You hear goldeneye calling in the south-east.
(3C5A98):16gm:[:]{050303D6}      | You feel warm.
(3C5A98):16gm:[:]{050303D6}      | You are feeling hot.
(A80000):16gn:[!]{050303D6}      | Task cancelled!
(663333):16gn:[&]{050303D7}      | You are thirsty.
(3C5A98):16gn:[:]{050303D6}      | You begin sneaking, trying to stay hidden and move as quietly as possible.
(3C5A98):16gn:[:]{050303D6}      | You quit hiding and sneaking.
(3C5A98):16gn:[:]{050303D6}      | You begin sneaking, trying to stay hidden and move as quietly as possible.
(3C5A98):16gn:[:]{050303D6}      | You quit hiding and sneaking.
(A80000):16gn:[!]{050303D6}      | There is nothing here to pick up.
(A80000):16gn:[!]{050303D6}      | You should have the carcass nearby on the ground, one step away at the most.
(147870):16gn:[?]{050303D6}      | Items at your feet will be moved to an adjacent location or packed on an animal.
(A80000):16gn:[!]{050303D6}      | There are no items at your feet!
(663333):16gn:[&]{050303D6}      | You fall prone.
(663333):16gn:[&]{050303D6}      | You get back on your feet.
(663333):16gn:[&]{050303D6}      | You fall prone.
(663333):16gn:[&]{050303D6}      | You get back on your feet.
(663333):16gn:[&]{050303D6}      | You fall prone.
(663333):16gn:[&]{050303D6}      | You get back on your feet.
(3C5A98):16gn:[:]{050303D6}      | You are sweaty.
(663333):16gn:[&]{050303D6}      | You fall prone.
(000000):16gn:[Y]{050303D6}      | You hear goldeneye calling in the south-east.
(3C5A98):16gn:[:]{050303D6}      | You are sweating a lot.
(000000):16gn:[Y]{050303D6}      | You hear kuikka calling in the north-west.
(3C5A98):16gn:[:]{050303D6}      | Meanwhile, goldeneye enters your view...
(147870):16gn:[?]{050303D6}      | Abort task?
(000000):26g0:[Y]{050303D6}      | You hear goldeneye calling in the west.
(000000):26g1:[Y]{050303D6}      | You hear kuikka calling in the south-west.
(A80000):26g1:[!]{050303D6}      | Task cancelled!
(3C5A98):26g1:[:]{050303D6}      | You crawl.
(A80000):26g1:[!]{050303D6}      | You should have the carcass nearby on the ground, one step away at the most.
(3C5A98):26g1:[:]{050303D6}      | You crawl.
(3C5A98):26g1:[:]{050303D6}      | You begin sneaking, trying to stay hidden and move as quietly as possible.
(3C5A98):26g1:[:]{050303D6}      | You quit hiding and sneaking.
(A80000):26g1:[!]{050303D6}      | There is nothing here to pick up.
(147870):26g1:[?]{050303D6}      | You are about to start hauling items at your feet.
(A80000):26g1:[!]{050303D6}      | There are no items at your feet!
(A80000):26g1:[!]{050303D6}      | You should have the carcass nearby on the ground, one step away at the most.
(663333):26g1:[&]{050303D6}      | You get back on your feet.
(663333):26g1:[&]{050303D6}      | You fall prone.
(663333):26g1:[&]{050303D6}      | You get back on your feet.
(663333):26g1:[&]{050303D6}      | You fall prone.
(663333):26g1:[&]{050303D6}      | You get back on your feet.
(663333):26g1:[&]{050303D6}      | You fall prone.
(663333):26g1:[&]{050303D6}      | You get back on your feet.
(663333):26g1:[&]{050303D6}      | You fall prone.
(663333):26g1:[&]{050303D6}      | You get back on your feet.
(663333):26g1:[&]{050303D6}      | You fall prone.
(663333):26g1:[&]{050303D6}      | You get back on your feet.
(663333):26g1:[&]{050303D6}      | You fall prone.
(663333):26g1:[&]{050303D6}      | You get back on your feet.
(663333):26g1:[&]{050303D6}      | You fall prone.
(663333):26g1:[&]{050303D6}      | You get back on your feet.
(663333):26g1:[&]{050303D6}      | You fall prone.
(663333):26g1:[&]{050303D6}      | You get back on your feet.
(663333):26g1:[&]{050303D6}      | You fall prone.
(663333):26g1:[&]{050303D6}      | You get back on your feet.
(663333):26g1:[&]{050303D6}      | You fall prone.
(663333):26g1:[&]{050303D6}      | You get back on your feet.
(A80000):26g1:[!]{050303D6}      | You don't have anything to drink.
(A80000):26g1:[!]{050303D6}      | You have no weapon wielded in that hand!
(A80000):26g1:[!]{050303D6}      | Don't strike with a bow, but use [t]hrow command and select an arrow to shoot.
(143270):26g1:[#]{050303D6}      | UrW needs to perform map maintenance now. That will take a few moments.
(143270):26g1:[#]{050303D6}      | Ok, map maintenance done.
(143270):26g1:[#]{050303D6}      | Zooming out ... 
(143270):26g1:[#]{050303D6}      | Zooming in ... 
(000000):26g1:[T]{050303D6}      | There is coniferous forest here and you take a closer look at this area.
(3C5A98):26g1:[:]{050403D7}      | The water here is shallow enough to wade.
(147870):26g1:[?]{050403D7}      | Step into water?
(3C5A98):26g1:[:]{050403D7}      | You feel a bit cool.
(3C5A98):26g1:[:]{050403D7}      | You get out of the water.
(143270):26g1:[#]{050303D7}      | You see a rock here.
(143270):26g1:[#]{050303D6}      | HELP AND GAME OPTIONS: Keyboard commands
(663333):26g1:[&]{050303D6}      | You have rested away the fatigue.
(000000):26g1:[Y]{050303D6}      | You hear kuikka calling in the south-west.
(663333):26g1:[&]{050303D6}      | You have rested away the fatigue.
(663333):26g1:[&]{050303D6}      | You fall prone.
(663333):26g1:[&]{050303D6}      | You have rested away the fatigue.
(663333):26g1:[&]{050303D6}      | You are a bit hungry.
(663333):26g1:[&]{050303D6}      | You have rested away the fatigue.
(3C5A98):26g1:[:]{050303D6}      | You feel comfortably warm.
(3C5A98):26g1:[:]{050303D6}      | You are feeling rather warm.
(3C5A98):26g1:[:]{050303D6}      | You feel warm.
(3C5A98):26g1:[:]{050303D6}      | You are feeling hot.
(3C5A98):26g1:[:]{050303D6}      | You are sweaty.
(A80000):26g1:[!]{050303D6}      | Task cancelled!
(663333):26g1:[&]{050303D6}      | You are getting hungry.
(663333):26g1:[&]{050303D6}      | You have rested away the fatigue.
(143270):26g1:[#]{050303D6}      | HELP AND GAME OPTIONS: Keyboard commands
(3C5A98):26g1:[:]{050303D6}      | You lay down and fall asleep.
(143270):26g1:[#]{050303D6}      | Zzzz... [HOLD ON]
(3C5A98):26gc:[:]{050303D6}      | You wake up.
(663333):26gc:[&]{050303D6}      | You get back on your feet.
(CC3333):26gd:[&]{050303D6}      | You are hungry as a bear!
(663333):26gd:[&]{050303D6}      | You are very thirsty.
(143270):26gd:[#]{050303D6}      | You see 4 slender tree trunks here.
(143270):26gd:[#]{050303D6}      | You see a burnt-out fire here.
(A80000):26gd:[!]{050303D6}      | There is nothing here to pick up.
(A80000):26gd:[!]{050303D6}      | There's a spruce blocking your way!
(143270):26gd:[#]{050303D7}      | You see a rock here.
(147870):26gd:[?]{050303D7}      | Drink from the natural source?
(3C5A98):26gd:[:]{050303D7}      | You gulp that water.
(008000):26gd:[=]{050303D7}      | Your thirst is extinguished.
(000000):26gd:[I]{050303D7}      | It's plain good rye bread and happily consumed too.
(008000):26gd:[=]{050303D7}      | Burp! Your stomach is full.
(3C5A98):26gd:[:]{050303D7}      | You finish eating some of that rye bread.
(143270):26gd:[#]{050303D7}      | HELP AND GAME OPTIONS: Save the game
(143270):26gd:[#]{050303D7}      | Saving your character...
(008000):26gd:[=]{050303D7}      | Your character has been saved.
